Frame_Index,Dominant_Frequency_Hz
1,40.0
2,40.0
3,760.0
4,1080.0
5,800.0
6,800.0
7,800.0
8,800.0
9,800.0
10,800.0
11,800.0
12,800.0
13,800.0
14,800.0
15,800.0
16,800.0
17,800.0
18,800.0
19,800.0
20,800.0
21,800.0
22,800.0
23,800.0
24,800.0
25,800.0
26,800.0
27,800.0
28,800.0
29,800.0
30,800.0
31,800.0
32,800.0
33,800.0
34,800.0
35,800.0
36,1080.0
37,800.0
38,1080.0
39,1080.0
40,1080.0
41,1080.0
42,1080.0
43,1080.0
44,1080.0
45,1080.0
46,1080.0
47,1080.0
48,1080.0
49,1080.0
50,1080.0
51,1080.0
52,1080.0
53,1080.0
54,1080.0
55,1080.0
56,1080.0
57,1080.0
58,1080.0
59,1080.0
60,1080.0
61,1080.0
62,1080.0
63,1080.0
64,1080.0
65,1080.0
66,1080.0
67,1080.0
68,1080.0
69,1080.0
70,1080.0
71,800.0
72,800.0
73,1080.0
74,1080.0
75,1080.0
76,1080.0
77,1080.0
78,1080.0
79,1080.0
80,1080.0
81,1080.0
82,1080.0
83,1080.0
84,1080.0
85,1080.0
86,1080.0
87,1080.0
88,1080.0
89,1080.0
90,1080.0
91,1080.0
92,1080.0
93,1080.0
94,1080.0
95,1080.0
96,1080.0
97,1080.0
98,1080.0
99,1080.0
100,1080.0
101,1080.0
102,1080.0
103,1080.0
104,1080.0
105,1080.0
106,1080.0
107,1080.0
108,1080.0
109,1080.0
110,1080.0
111,1080.0
112,1080.0
113,1080.0
114,1080.0
115,1080.0
116,1080.0
117,1080.0
118,1080.0
119,1080.0
120,1080.0
121,1080.0
122,1080.0
123,1080.0
124,1080.0
125,1080.0
126,1080.0
127,1080.0
128,1080.0
129,1080.0
130,1080.0
131,1080.0
132,1080.0
133,800.0
134,1080.0
135,1080.0
136,1080.0
137,1080.0
138,1080.0
139,1080.0
140,1080.0
141,1080.0
142,1080.0
143,1080.0
144,1080.0
145,1080.0
146,1080.0
147,1080.0
148,1080.0
149,1080.0
150,1080.0
151,1080.0
152,1080.0
153,1080.0
154,1080.0
155,1080.0
156,1080.0
157,1080.0
158,1080.0
159,1080.0
160,1080.0
161,1080.0
162,1080.0
163,1080.0
164,1080.0
165,1080.0
166,1080.0
167,1080.0
168,1080.0
169,1080.0
170,1080.0
171,1080.0
172,1080.0
173,1080.0
174,1080.0
175,1080.0
176,1080.0
177,1080.0
178,1080.0
179,1080.0
180,1080.0
181,1080.0
182,1080.0
183,1080.0
184,1080.0
185,1080.0
186,1080.0
187,1080.0
188,1080.0
189,1080.0
190,1080.0
191,1080.0
192,1080.0
193,1080.0
194,1080.0
195,1080.0
196,1080.0
197,1080.0
198,1080.0
199,1080.0
200,1080.0
201,1080.0
202,1080.0
203,1080.0
204,1080.0
205,1080.0
206,1080.0
207,1080.0
208,1080.0
209,1080.0
210,1080.0
211,1080.0
212,1080.0
213,1080.0
214,1080.0
215,1080.0
216,1080.0
217,1080.0
218,1080.0
219,1080.0
220,1080.0
221,1080.0
222,1080.0
223,1080.0
224,1080.0
225,1080.0
226,1080.0
227,1080.0
228,1080.0
229,1080.0
230,1080.0
231,1080.0
232,1080.0
233,1080.0
234,1080.0
235,1080.0
236,1080.0
237,1080.0
238,1080.0
239,1080.0
240,1080.0
241,1080.0
242,1080.0
243,1080.0
244,1080.0
245,1080.0
246,1080.0
247,1080.0
248,1080.0
249,1080.0
250,1080.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,1080.0
264,1080.0
265,1080.0
266,1080.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
